input bits,output bits,mean,standard deviation,min error,max error
14,11,-0.000164509,0.00303488,-0.01096,0.0128375
14,12,-3.71039e-05,0.00163652,-0.00631136,0.00600159
14,13,-1.64807e-05,0.000874709,-0.00353562,0.00353562
14,14,-2.14353e-05,0.000465422,-0.0017224,0.00188995
14,15,-4.48525e-06,0.000251143,-0.000881619,0.00103546
14,16,-3.53158e-06,0.000137033,-0.000503932,0.000547175
14,17,-1.10641e-06,8.96063e-05,-0.000312736,0.000312736
14,18,-8.33534e-07,7.16695e-05,-0.000284348,0.000306627
14,19,-1.19209e-07,6.65083e-05,-0.000285047,0.000285047
14,20,-2.36556e-07,6.5236e-05,-0.000288862,0.000288862
14,21,-1.14029e-07,6.48388e-05,-0.000286954,0.000285047
14,22,-5.2125e-08,6.47261e-05,-0.000282186,0.00028314
14,23,-1.76078e-08,6.47385e-05,-0.000281232,0.000281709
14,24,-2.45418e-08,6.47305e-05,-0.000280994,0.000281471
14,25,-1.04883e-08,6.4728e-05,-0.000281113,0.000281232
14,26,-5.31145e-10,6.4731e-05,-0.000281113,0.000281113
14,27,-5.59339e-10,6.47317e-05,-0.000281113,0.000281143
14,28,-1.24601e-09,6.47318e-05,-0.000281113,0.000281113
14,29,-5.89353e-10,6.47321e-05,-0.000281106,0.000281106
14,30,-1.60071e-10,6.47324e-05,-0.000281098,0.000281098
14,31,-1.14142e-10,6.47324e-05,-0.000281094,0.000281094
14,32,-1.98971e-13,6.47324e-05,-0.000281094,0.000281094
15,4,-0.00669098,0.229995,-0.59362,0.59362
15,5,-0.0143871,0.113365,-0.30877,0.25294
15,6,-0.00393009,0.0609725,-0.144607,0.187609
15,7,-0.00346661,0.0387317,-0.113763,0.113763
15,8,-0.00142193,0.0196728,-0.0647452,0.06381
15,9,-0.000313044,0.0108457,-0.0349796,0.0349796
15,10,-0.000210285,0.00609394,-0.0188353,0.0208412
15,11,-0.000164866,0.00302969,-0.0111479,0.0130287
15,12,-3.71486e-05,0.00163124,-0.00631136,0.00619277
15,13,-1.64956e-05,0.000870607,-0.00353562,0.00353562
15,14,-2.14502e-05,0.000463356,-0.00178784,0.00188995
15,15,-4.45172e-06,0.000246633,-0.000933348,0.00103546
15,16,-3.51947e-06,0.000131023,-0.000567137,0.000567137
15,17,-1.0943e-06,7.37231e-05,-0.0002826,0.0002826
15,18,-8.26083e-07,5.0062e-05,-0.000207149,0.000207149
15,19,-1.19675e-07,4.28655e-05,-0.000183942,0.000183942
15,20,-2.35741e-07,4.11164e-05,-0.000180127,0.000180127
15,21,-1.14058e-07,4.05599e-05,-0.00017822,0.000180127
15,22,-5.21104e-08,4.03727e-05,-0.000176313,0.000177266
15,23,-1.76442e-08,4.04286e-05,-0.000175359,0.000175836
15,24,-2.46073e-08,4.0415e-05,-0.000174405,0.000174882
15,25,-1.05247e-08,4.04056e-05,-0.000174286,0.000174405
15,26,-5.54792e-10,4.04094e-05,-0.000174167,0.000174167
15,27,-5.6707e-10,4.04097e-05,-0.000174107,0.000174137
15,28,-1.24737e-09,4.04083e-05,-0.000174092,0.000174092
15,29,-5.89807e-10,4.04085e-05,-0.000174062,0.000174062
